Geometry,Operation
FACE_MILL(1of1){1of2},ROUGH_FACE
FACE_MILL(1of1){1of2},FINISH_FACE
OUTER_DIAMETER(1of1){1of1},ROUGH_TURN_OD
INNER_DIAMETER(1of1){1of1},ROUGH_BORE_ID
INNER_DIAMETER(1of1){1of1},FINISH_BORE_ID
OUTER_DIAMETER(1of1){1of1},FINISH_TURN_OD
HOLES_ALONG_SURFACE(1of1){1of6},SPOT_DRILLING
HOLES_ALONG_SURFACE(1of1){2of6},SPOT_DRILLING
HOLES_ALONG_SURFACE(1of1){3of6},SPOT_DRILLING
HOLES_ALONG_SURFACE(1of1){4of6},SPOT_DRILLING
HOLES_ALONG_SURFACE(1of1){5of6},SPOT_DRILLING
HOLES_ALONG_SURFACE(1of1){6of6},SPOT_DRILLING
HOLES_ALONG_SURFACE(1of1){1of6},DRILLING
HOLES_ALONG_SURFACE(1of1){2of6},DRILLING
HOLES_ALONG_SURFACE(1of1){3of6},DRILLING
HOLES_ALONG_SURFACE(1of1){4of6},DRILLING
HOLES_ALONG_SURFACE(1of1){5of6},DRILLING
HOLES_ALONG_SURFACE(1of1){6of6},DRILLING
